SubmissionDate;instanceID;lugar-Latitude;lugar-Longitude;lugar-Altitude;lugar-Accuracy;tipo;tipo/plastico;tipo/vidro;tipo/lata;tipo/papel;tipo/organico;tipo/outro;outro-lixo;tem-mais;tem-mais/plastico;tem-mais/vidro;tem-mais/lata;tem-mais/papel;tem-mais/organico;tem-mais/outro;foto;observacoes;KEY
;uuid:6c158fc6-8876-4957-a92d-f3f497d551bc;-22.5908236739;-43.414891893;54.8937759008;4.9;outro vidro lata plastico;1;1;1;0;0;1;Carro;lata;0;0;1;0;0;0;1571403260857.jpg;2 anos que ta aqui;uuid:6c158fc6-8876-4957-a92d-f3f497d551bc
;uuid:6d002f1d-e5e0-4089-b908-961d25442346;-22.5878687063;-43.424329441;37;5;organico;0;0;0;0;1;0;;organico;0;0;0;0;1;0;1571404771640.jpg;;uuid:6d002f1d-e5e0-4089-b908-961d25442346
;uuid:6f185986-fd95-40a1-8179-119e67e3056c;-22.59509788;-43.41978341;28.5704345703;4.288;outro;0;0;0;0;0;1;Pano;outro;0;0;0;0;0;1;1571403138337.jpg;;uuid:6f185986-fd95-40a1-8179-119e67e3056c
;uuid:719fd8c7-e732-4f43-9c85-1a18738a8044;-22.5898959534;-43.4182277508;27;24;plastico papel;1;0;0;1;0;0;;plastico;1;0;0;0;0;1;1571403419182.jpg;Lugar de queima de lixo;uuid:719fd8c7-e732-4f43-9c85-1a18738a8044
;uuid:766efefb-426b-4a37-88fd-495ad99315a2;-22.59622726;-43.41920689;14.5827026367;4.288;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571403370186.jpg;;uuid:766efefb-426b-4a37-88fd-495ad99315a2
;uuid:805f7112-1560-49fa-87c1-6531a9a988a1;-22.5936631579;-43.4209708124;19;5;plastico papel;1;0;0;1;0;0;;papel;0;0;0;1;0;0;1571402552849.jpg;;uuid:805f7112-1560-49fa-87c1-6531a9a988a1
;uuid:8083bd58-63cb-44fa-867b-953c6c691c93;-22.5908765942;-43.4143760987;28;5;plastico vidro lata papel organico;1;1;1;1;1;0;;plastico;1;1;1;1;1;0;1571403548930.jpg;;uuid:8083bd58-63cb-44fa-867b-953c6c691c93
;uuid:80ae2d4e-2833-446b-8344-94997fb8394d;-22.5913213799;-43.4123138152;26;5;organico lata;0;0;1;0;1;0;;organico;0;0;1;0;1;0;1571406379318.jpg;;uuid:80ae2d4e-2833-446b-8344-94997fb8394d
;uuid:8c8e3f4c-0933-44cc-ae13-f768560d5056;-22.5933104474;-43.421921907;26;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571401522637.jpg;;uuid:8c8e3f4c-0933-44cc-ae13-f768560d5056
;uuid:8dec5ceb-8cb3-47a1-88b3-3279795ce96f;-22.5950666657;-43.4188968781;22;4.5;plastico papel;1;0;0;1;0;0;;plastico;1;0;0;1;0;0;1571404514460.jpg;;uuid:8dec5ceb-8cb3-47a1-88b3-3279795ce96f
